,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,2,3,3,3,seulement,only
2,3,4,4,4,police,police
3,4,5,5,5,pensais,thought
4,5,6,6,6,aide,help
5,6,7,7,7,demande,request
6,7,8,8,8,genre,kind
7,8,9,9,9,mois,month
8,9,10,10,10,frère,brother
9,10,11,11,11,laisser,let
10,11,12,12,12,car,because
11,12,13,13,13,mettre,to put
12,13,14,14,14,aucun,no
13,14,15,15,15,laisse,leash
14,15,16,16,16,eux,them
15,16,17,17,17,ville,city
16,17,18,18,18,chaque,each
17,18,19,19,19,parlé,speak
18,19,20,20,20,arrivé,come
19,20,21,21,21,devrait,should
20,21,22,23,23,heures,hours
21,22,23,24,24,vont,will
22,23,24,25,25,revoir,meet again
23,24,25,26,26,aucune,any
24,25,26,27,27,place,square
25,26,27,28,28,parle,speak
26,27,28,29,29,compris,understood
27,28,29,30,30,savais,knew
28,29,30,31,31,étaient,were
29,30,31,32,32,attention,Warning
30,31,32,33,33,voici,here is
31,32,33,34,34,pourrais,could
32,33,34,35,35,affaire,case
33,34,35,36,36,donner,give
34,35,36,37,37,type,type
35,36,37,38,38,leurs,their
36,37,38,39,39,donné,given
37,38,39,40,40,train,train
38,39,40,41,41,corps,body
39,40,41,42,42,yeux,eyes
40,41,42,43,43,façon,way
41,42,43,44,44,écoute,listen
42,43,44,45,45,dont,whose
43,44,45,46,46,trouve,find
44,45,46,47,47,premier,first
45,46,47,48,48,perdu,lost
46,47,48,49,49,main,hand
47,48,49,50,50,première,first
48,49,50,51,51,côté,side
49,50,51,52,52,pouvoir,power
50,51,52,53,53,vieux,old
51,52,53,54,54,sois,be
52,53,54,55,55,tiens,here
53,54,55,56,57,tellement,so much
54,55,56,57,58,enfant,child
55,56,57,58,59,point,point
56,57,58,59,60,venu,came
57,58,59,60,61,suite,after
58,59,60,62,63,venez,come
59,60,61,63,64,devant,in front of
60,61,62,64,65,vers,towards
61,62,63,65,66,minutes,minutes
62,63,64,66,67,demandé,request
63,64,65,67,68,chambre,bedroom
64,65,66,68,69,mis,placed
65,66,67,69,70,belle,beautiful
66,67,68,70,71,droit,law
67,68,69,71,72,aimerais,would like to
68,69,70,72,73,aujourd'hui,today
69,70,71,73,74,mari,husband
70,71,72,74,75,cause,cause
71,72,73,75,76,enfin,finally
72,73,74,76,77,espère,hope
73,74,75,77,78,eau,water
74,75,76,78,79,attendez,Wait
75,76,77,79,80,parti,left
76,77,78,80,81,nouvelle,new
77,78,79,81,82,boulot,job
78,79,80,82,83,arrêter,Stop
79,80,81,83,84,dirait,would say
80,81,82,84,85,terre,Earth
81,82,83,85,86,compte,account
82,83,84,86,87,donne,given
83,84,85,87,88,loin,far
84,85,86,88,89,fin,end
85,86,87,89,90,croire,believe
86,87,88,90,91,chérie,sweetheart
87,88,89,91,92,gros,large
88,89,90,92,93,plutôt,rather
89,90,91,93,94,aura,will have
90,91,92,94,95,filles,girls
91,92,93,95,96,jouer,to play
92,93,94,96,97,bureau,office
